,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
185,Multiple Proponents,Agriculture Forestry and Other Land Use,Sustainable Wood by NFB,Under validation,63661,Uganda
186,Multiple Proponents,Agriculture Forestry and Other Land Use,OYU - Tenera Plantations by BIDCO,Under validation,41523,Uganda
187,"Hitachi Systems, Ltd.",Agriculture Forestry and Other Land Use,Ishinomaki Improved Forest Management Project,Under validation,7975,Japan
188,Enviro Carbon Serviços Ambientais Ltda,Agriculture Forestry and Other Land Use,Brazil Precision Agriculture Carbon Program,Under development,11267756,Brazil
189,Multiple Proponents,Agriculture Forestry and Other Land Use,Fortaleza Ituxi III ALM,Under development,2905,Brazil
190,ALLCOT A.G.,Agriculture Forestry and Other Land Use,"MÜSESI project for active restoration in areas of the Sierra Nevada Santa Marta, Colombia",Under development,50153,Colombia
191,Urvara Krsi Private Limited,Agriculture Forestry and Other Land Use,Landscape-based approach towards the revitalization of degraded agro-ecology for livelihood generation of marginalized communities,Under development,43571,India
192,Multiple Proponents,Agriculture Forestry and Other Land Use,"Trees For Livelihoods: Agroforestry In Sonbhadra, Uttar Pradesh, India",Under validation,84443,India
193,Green Lagoon Technology Sdn Bhd,Waste handling and disposal,WASTEWATER TO BIOGAS GROUPED PROJECT,Under validation,28440,Malaysia
194,OYU Green Private Limited,Agriculture Forestry and Other Land Use,OYU - Reforesting Uganda for a better tomorrow,Under validation,175193,Uganda
195,World Wide Fund for Nature Denmark / Verdensnaturfonden,Agriculture Forestry and Other Land Use,NATURAL FOREST REGENERATION FOR ENHANCED CARBON STOCKS IN THE ALBERTINE RIFT (FRECAR),Under development,63052,Uganda
196,Terraformation Inc.,Agriculture Forestry and Other Land Use,Regenerative Development of Anlo Wetlands Project,Under validation,16566,Ghana
197,Multiple Proponents,Agriculture Forestry and Other Land Use,Smallholder Reforestation in Malawi,Under development,7400,Malawi
198,Multiple Proponents,Agriculture Forestry and Other Land Use,Uganda Native Reforestation and Agroforestry Project,Under validation,12,Uganda
199,Multiple Proponents,Agriculture Forestry and Other Land Use,Agroforestry Project of Cameroon,Under validation,12,Cameroon
200,Multiple Proponents,Agriculture Forestry and Other Land Use,Forest Landscape Restoration in Panama,Under validation,14,Panama
201,Multiple Proponents,Agriculture Forestry and Other Land Use,Tatuy REDD+ Project,Under validation,32412,Brazil
202,Carbon Friendly (US) LLC,Agriculture Forestry and Other Land Use,Carbon Smart Cropping and Pasture Systems USA,Under development,1900750,United States
203,Eni S.p.A,Energy demand,IMPROVED COOKSTOVES DISTRIBUTION IN MOZAMBIQUE – MAPUTO,Under validation,89000,Mozambique
204,Multiple Proponents,Energy demand,IMPROVED COOKSTOVES DISTRIBUTION IN ANGOLA,Under validation,164100,Angola
205,Feedworks Pty Ltd.,"Livestock, enteric fermentation, and manure management","Feedworks Agolin® Enteric Methane Abatement in Ruminants, Australia & New Zealand",Under development,51475,Australia
206,Clean Air Action Corporation,Agriculture Forestry and Other Land Use,"TIST Program in Tanzania, VCS-CCB-011",Under validation,68326,Tanzania
207,Multiple Proponents,Energy demand,Improved cookstoves distribution in Congo – Pointe-Noire,Under validation,148400,Congo
208,Multiple Proponents,Energy demand,Improved cookstoves distribution in Congo – Brazzaville North,Under validation,98500,Congo
209,Multiple Proponents,Energy demand,Improved cookstoves distribution in Congo – Brazzaville South,Under validation,98800,Congo
210,Multiple Proponents,Agriculture Forestry and Other Land Use,NAMI REDD+ PROJECT,Under development,5282741,Brazil
211,Intellecap Advisory Services Private Limited,Agriculture Forestry and Other Land Use,AFFORESTATION AND BIODIVERSITY CONSERVATION PROJECT IN WEST BENGAL,Under validation,54095,India
212,"Prime Road Alternative (Cambodia) Co., Ltd.",Energy industries (renewable/non-renewable sources),KAMPONG CHHNANG 60MW SOLAR POWER PROJECT,Under validation,101136,Cambodia
213,Multiple Proponents,Agriculture Forestry and Other Land Use,Yiri,Under development,96181,Guinea
214,Carbon Scale,"Livestock, enteric fermentation, and manure management",CARBON SCALE LATAM: AN INITIATIVE TO REDUCE METHANE EMISSIONS FROM ENTERIC FERMENTATION IN LATAM,Under development,8000,Argentina
215,,Energy industries (renewable/non-renewable sources),"Green Hydrogen Project: Sindh, Pakistan",Inactive,500000,Pakistan
216,Multiple Proponents,Agriculture Forestry and Other Land Use,OGA REDD+ PROJECT,Under validation,49992,Brazil
217,Multiple Proponents,Agriculture Forestry and Other Land Use,Asha,Under development,45660,India
218,Multiple Proponents,Agriculture Forestry and Other Land Use,AHU REDD+ PROJECT,Under validation,35168,Brazil
219,Maruti Suzuki India Limited,Transport,"MODAL SHIFT TO RAILWAY FOR TRANSPORTATION OF CARGO AT HANSALPUR, GUJARAT, INDIA",Under validation,21117,India
220,Rivulis Pte. Ltd.,Agriculture Forestry and Other Land Use,Rivulis Climate Row Crops in Europe (RCRC),Under validation,4313,Italy
221,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),SMG Solar Water Pump - Program 01,Under validation,38470,India
222,Intellecap Advisory Services Private Limited,Agriculture Forestry and Other Land Use,Community Based Agroforestry Project,Under validation,74853,India
223,Dian Fossey Gorilla Fund,Agriculture Forestry and Other Land Use,The Nkuba REDD+ Project,Rejected by Administrator,256808,"Congo, The Democratic Republic of The"
224,UNIMA SA.,Agriculture Forestry and Other Land Use,ALA HONKO BLUE CARBON MADAGASCAR,Under development,18204,Madagascar
225,Multiple Proponents,Agriculture Forestry and Other Land Use,AWA REDD+ PROJECT,Under validation,503182,Brazil
226,Asociación para la Investigación y Desarrollo Integral – AIDER,Agriculture Forestry and Other Land Use,Reducción de la deforestación y degradación en el parque nacional Bahuaja sonene en la región Puno - Perú,Under validation,111144,Peru
227,Vista Energy Argentina SAU,Agriculture Forestry and Other Land Use,Improved Agriculture Land Management in Argentina,Under development,5430,Argentina
228,Multiple Proponents,Agriculture Forestry and Other Land Use,Expanding Green Cover though afforestation in the Himalayan Region of Uttarakhand through communities-leading towards ownership and sustainability,Under validation,144219,India
229,Climeverse Private Limited,Agriculture Forestry and Other Land Use,Incentivising Smallholder Farmers to Transition to Low-Emissions Agriculture and Agroforestry,Under development,463650,India
230,Super Carbon X Company Limited,Energy industries (renewable/non-renewable sources),SOLAR PV BESS AND CBG HYBRID PROJECT IN THAILAND,Under validation,18713,Thailand
231,"Starch Plus Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Starch Plus Wastewater Treatment And Biogas Utilisation Project,Under validation,37995,Thailand
232,Multiple Proponents,"Agriculture Forestry and Other Land Use; Livestock, enteric fermentation, and manure management",Renove ALM Brazil,Under validation,130205,Brazil
233,BRCARBON SERVICOS AMBIENTAIS LTDA,Agriculture Forestry and Other Land Use,AMAZONAS APD GROUPED PROJECT,Inactive,576542,Brazil
234,SK Forest,Agriculture Forestry and Other Land Use,Timor-Leste Mangrove Restoration Project,Under development,10267,Timor-Leste
235,Multiple Proponents,Agriculture Forestry and Other Land Use,Shanxi Danfeng IFM Project,Under development,20748,China
236,SPP Six Co. Ltd,Energy industries (renewable/non-renewable sources),"SOLAR ROOFTOP PROJECT NAKHON PATHOM, THAILAND",Under validation,8237,Thailand
237,Planete Urgence,Agriculture Forestry and Other Land Use,CAMERR Carbon Mangrove Ecosystem Restoration & Resilience,Under development,17918,Cameroon
238,Carbon Friendly (US) LLC,Agriculture Forestry and Other Land Use,Carbon Smart Orchards USA,Under development,1900750,United States
239,Qarlbo Uruguay S.A.S.,Agriculture Forestry and Other Land Use,‘Qarlbo’ Afforestation Through High-Quality Timber Over Degraded Grasslands,Under validation,2818,Uruguay
240,Ubá Sustainability Institute,Agriculture Forestry and Other Land Use,Ana Primavesi – Sustainable Farming and Restoration Program,Under validation,10870,Brazil
241,Multiple Proponents,Agriculture Forestry and Other Land Use,Shandong Dongying alm project,Under validation,132290,China
242,Carbon Tanzania,Agriculture Forestry and Other Land Use,Ruvuma Wilderness Project,Under development,622735,Tanzania
243,OÜ eAgronom,Agriculture Forestry and Other Land Use,eAgronom sustainable farming in Central and Eastern Europe,Under validation,743202,Poland
244,EKEN Financing Value Added Forestry AB,Agriculture Forestry and Other Land Use,EKEN IFM SWEDEN NORTH #1,Under development,109640,Sweden
245,Multiple Proponents,Agriculture Forestry and Other Land Use,Seringal Rio Branco REDD+ Project,Under validation,110886,Brazil
246,Core CarbonX Solutions Pvt. Ltd.,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",Godhan Nyay Yojna,Under validation,13958,India
247,"Liaoning Sengda Environmental Resources Group Co., Ltd.",Waste handling and disposal,Liaoning Sengda Waste Plastic Recycling Project,Registration and verification approval requested,54031,China
248,SOLAXY GROUP,Energy demand,Solaxy Cookstoves for Healthier Homes and a Greener Kenya,Under development,723220,Kenya
249,Multiple Proponents,Agriculture Forestry and Other Land Use,EVERGREEN II REDD+ PROJECT,Under development,206367,Brazil
250,Multiple Proponents,Energy industries (renewable/non-renewable sources); Transport,Turu EV Charging Network Project,Registration and verification approval requested,138054,South Korea
251,"Fengcheng Xinfengtai Environment Technology Co., Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",Hexi Biogas Recovery and Utilization Project,Registration requested,53243,China
252,VISTA GREEN ORGANICS,Energy demand,Distribution of highly efficient cookstove in Odisha (India),Under validation,74221,India
253,Linfen Canvest Environmental Power Company Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Linfen MSW Incineration and Power Generation Project,Registration requested,107358,China
254,Land Life Company B.V.,Agriculture Forestry and Other Land Use,Land Life Reforestation and Restoration of Degraded Land in Colorado,Under validation,2860,United States
255,Land Life Company B.V.,Agriculture Forestry and Other Land Use,Land Life Reforestation and Restoration of Degraded Land in Portugal,Under validation,1995,Portugal
256,Land Life Company B.V.,Agriculture Forestry and Other Land Use,Land Life Reforestation and Restoration of Degraded Land in Australia - A,Under validation,5204,Australia
257,"Calmecac, Fundacion Para El Desarrollo Integral Del Hombre y Su Entorno",Agriculture Forestry and Other Land Use,REDD+ PROJECT - REDDES LOCALES FOR DEVELOPMENT,Rejected by Administrator,165618,Guatemala
258,SARACARBON SDN BHD,Agriculture Forestry and Other Land Use,Marudi Forest Conservation and Restoration Project,Under development,1765482,Malaysia
259,Urstamm AG,Agriculture Forestry and Other Land Use,URSTAMM GROUPED PROJECT IFM SWITZERLAND & PILOT PROJECT KELLERAMT,Under validation,487,Switzerland
260,SRCNatura Sure Pvt. Ltd.,Waste handling and disposal,Project Terre Boost: Biochar for a Better Tomorrow,Registration requested,116961,India
261,Smart Joules,Energy demand,Energy Efficiency Measures Across Commercial Buildings in India by SJPL 001,Registration requested,26937,India
262,SECRETARIAT PERMANENT REDD+,Agriculture Forestry and Other Land Use,BURKINA FASO AGRICULTURAL CARBON PROJECT (BUFACAP),Under development,519539,Burkina Faso
263,Multiple Proponents,Agriculture Forestry and Other Land Use,Rio Muru REDD+ Project,Under validation,161977,Brazil
264,Multiple Proponents,Waste handling and disposal,ALTROOT MUNICIPAL WASTE COMPOSTING OFFSETS,Under validation,22000,Canada
265,Carbisure Tech Private Limited,Agriculture Forestry and Other Land Use,Agroforestry Initiative through carbon finance to strengthen rural livelihoods and ecosystems in India,Under validation,41100,India
266,PetroChina Company Limited Changqing Oilfield Shale Oil Development Branch,Agriculture Forestry and Other Land Use,National Shale Oil Low-Carbon Intelligent Demonstration Base Carbon Sink Afforestation Project,Registration requested,497,China
267,Carbon Disclosure South Africa (Pty) Ltd,Energy industries (renewable/non-renewable sources),Carbon Disclosure SA Solar PV Grouped Project 1,Registration requested,9418,South Africa
268,FRM COMMITMENT,Agriculture Forestry and Other Land Use,"BAULU PROJECT, DEMOCRATIC REPUBLIC OF CONGO",Under development,705674,"Congo, The Democratic Republic of The"
269,Evander Solar Solutions (Pty) Ltd,Energy industries (renewable/non-renewable sources),Evander Solar Solutions PV Grouped Project,Registration requested,16564,South Africa
